step,entropy,len_mean,len_max,len_min,len_clip_ratio,score_mean,rewards_mean,pg_loss,grad_norm,pg_clipfrac,pg_clipfrac_lower,ppo_kl,val_acc_mean1,spectral_rel_change_mean,anchor_backwards,spectral_corrections,clean_steps,mask_applications
10,0.34796637296676636,211.837890625,820,8,0,0.7373046875,0.7373046875,0.02596752501267474,0.4085828810930252,0.0009678988068344552,0,2.5458782172194105e-05,0.7323730098559514,,0,0,0,0
11,0.3389280140399933,211.451171875,1075,5,0,0.7431640625,0.7431640625,0.025520530973153654,0.4018664211034775,0.0007893228355442261,0,3.049935379051405e-05,,,0,0,0,0
12,0.32938411831855774,220.861328125,1224,9,0,0.6982421875,0.6982421875,0.03794921580265509,0.3808691203594208,0.0006488434262905685,0,7.689548372269428e-06,,,0,0,0,0
13,0.29470372200012207,210.90625,731,64,0,0.751953125,0.751953125,0.025444581151532475,0.3873343914747238,0.0004452890858601677,0,-1.3358803208518566e-05,,,0,0,0,0
14,0.32574018836021423,213.2890625,1147,50,0,0.71484375,0.71484375,0.03722376546647865,0.35849764943122864,0.0005118374072026199,0,-5.0577548388552884e-05,,,0,0,0,0
15,0.2906188666820526,200.845703125,859,47,0,0.7314453125,0.7314453125,0.023286261508474126,0.3805219531059265,0.00047777548388694413,0,5.4226615588487403e-05,,,0,0,0,0
16,0.27999061346054077,208.421875,641,45,0,0.734375,0.734375,0.018613685278978664,0.3930557072162628,0.0005732234770903233,0,5.9220773183099595e-06,,,0,0,0,0
17,0.2633536756038666,199.869140625,682,49,0,0.7724609375,0.7724609375,0.013278926628117915,0.37462086975574493,0.000601382815375473,0,1.6758110287562467e-05,,,0,0,0,0
18,0.2592313289642334,191.4033203125,756,58,0,0.79296875,0.79296875,0.024309569678734988,0.34427009522914886,0.00042897668276964396,0,-4.514926755505577e-05,,,0,0,0,0
19,0.25042587518692017,194.134765625,593,66,0,0.77734375,0.77734375,0.021782745461678132,0.375400185585022,0.000406594324431353,0,-4.0577403067842965e-05,,,0,0,0,0
20,0.26339221000671387,186.361328125,916,57,0,0.7763671875,0.7763671875,0.011850113747641444,0.38726818561553955,0.0004471483101724516,0,-3.979740687309885e-05,0.7376800606520091,,0,0,0,0
21,0.2277688831090927,193.482421875,775,47,0,0.783203125,0.783203125,0.012029690660710912,0.3582145869731903,0.00042613075811459566,0,7.589847146594053e-05,,,0,0,0,0
22,0.26451376080513,198.6259765625,1109,59,0,0.755859375,0.755859375,0.019847817806294188,0.38824591040611267,0.000609389346664102,0,0.00011540031841436593,,,0,0,0,0
23,0.24580080807209015,199.7734375,882,51,0,0.7548828125,0.7548828125,0.016341477239620872,0.3979411870241165,0.0007882990136067747,0,-3.597623800399852e-05,,,0,0,0,0
24,0.21400901675224304,194.263671875,674,48,0,0.8056640625,0.8056640625,0.01569373618985992,0.4052404314279556,0.0005805677534453935,0,2.3361736833926727e-05,,,0,0,0,0
25,0.22203947603702545,200.5849609375,791,63,0,0.7861328125,0.7861328125,0.020982709218515083,0.37599773705005646,0.0005524919492927438,0,6.798631917659392e-05,,,0,0,0,0
26,0.22238081693649292,221.482421875,986,59,0,0.751953125,0.751953125,0.01627006003400311,0.40012556314468384,0.000644957917074862,0,0.0001497684684017564,,,0,0,0,0
27,0.21400010585784912,198.935546875,759,65,0,0.79296875,0.79296875,0.024451969111396465,0.3494882583618164,0.0006108621297471473,0,5.045080594978657e-05,,,0,0,0,0
28,0.20804032683372498,193.5732421875,1306,58,0,0.8291015625,0.8291015625,0.009306162275606766,0.3536392003297806,0.0004487543253617332,0,3.698949221152964e-05,,,0,0,0,0
29,0.1999930590391159,203.13671875,556,46,0,0.7705078125,0.7705078125,0.011061574070481583,0.39148737490177155,0.0006163894381643331,0,-1.0562923530965662e-05,,,0,0,0,0
30,0.19430091977119446,200.861328125,739,68,0,0.78125,0.78125,0.012268833925190847,0.38118399679660797,0.000500158478416779,0,0.00012596284344312814,0.7414708112206216,,0,0,0,0
31,0.19976450502872467,201.41796875,814,67,0,0.8271484375,0.8271484375,0.016998528415570036,0.35249532759189606,0.00042922562249714247,0,1.177384905570733e-06,,,0,0,0,0
32,0.1733672171831131,202.55859375,1228,69,0,0.8447265625,0.8447265625,0.009572780487360433,0.3200429379940033,0.0005078058884464554,0,-2.869403330585385e-05,,,0,0,0,0
33,0.18527238070964813,197.0009765625,723,63,0,0.7998046875,0.7998046875,0.014104287125519477,0.3454218953847885,0.0006192767817765343,0,0.00014392010411334866,,,0,0,0,0
34,0.17997784912586212,199.912109375,593,81,0,0.814453125,0.814453125,0.0187470927630784,0.3420034497976303,0.0005302217339249182,0,6.055465316756603e-05,,,0,0,0,0
