step,entropy,len_mean,len_max,len_min,len_clip_ratio,score_mean,rewards_mean,pg_loss,grad_norm,pg_clipfrac,pg_clipfrac_lower,ppo_kl,val_acc_mean1,spectral_rel_change_mean,anchor_backwards,spectral_corrections,clean_steps,mask_applications
19,1.4466216564178467,224.919921875,3220,13,0,0.5869140625,0.5869140625,0.004872921184869483,2.2556774616241455,0.007786527631651552,0,0.0164858914395154,,0.11366289859276493,7,7448,0,0
20,1.4035359621047974,209.8525390625,943,3,0,0.6142578125,0.6142578125,0.05944661930152506,3.310032367706299,0.1285032879532082,0.012835824569265242,0.12601230669277186,,0.11551507536264859,8,7840,0,0
21,1.2841689586639404,203.935546875,759,17,0,0.6376953125,0.6376953125,0.004296536280889995,5.242974519729614,0.019699257921274693,0,0.036523677792501985,,0.04569291354071501,8,8232,0,0
22,1.2500641345977783,206.4052734375,783,8,0,0.6396484375,0.6396484375,0.017337365621642675,3.7284836769104004,0.015591612334901583,0,0.029019650109148643,,0.08546686702769021,8,8624,0,0
23,1.1970243453979492,209.1142578125,9764,3,0,0.68359375,0.68359375,0.31944846900478296,8.285456657409668,0.2737025302612892,0.052665858285763534,-0.2627619323832846,,0.03409958639590792,9,9016,0,0
24,1.2413721084594727,188.8349609375,680,4,0,0.734375,0.734375,0.007498266395487008,4.380869030952454,0.014074543889137203,3.2552084121562075e-06,0.03188956631038309,,0.06234115183030312,9,9408,0,0
25,1.213313102722168,191.2373046875,825,4,0,0.705078125,0.705078125,0.03340228501110687,2.694545030593872,0.09612880805070745,0.006493145828017077,0.14473523626048745,0.7134192570128886,0.1531025250537359,10,9800,0,0
26,1.0482065677642822,205.83984375,851,5,0,0.6748046875,0.6748046875,0.013422304658888606,3.131898820400238,0.013815211597602683,0,0.022150166081075895,,0.12142979195911666,10,10192,0,0
27,1.031814694404602,182.2333984375,752,32,0,0.720703125,0.720703125,-0.008588507465901785,6.182510852813721,0.009898242524741363,0,0.026078179140313296,,0.03926883045374891,10,10584,0,0
28,1.0026785135269165,174.36328125,679,5,0,0.7470703125,0.7470703125,0.09096845999374636,5.047309637069702,0.19648358874837868,0.022979836312515545,-0.04195536064977645,,0.055966604933408756,11,10976,0,0
29,0.9119116067886353,184.9814453125,699,4,0,0.6904296875,0.6904296875,-0.010072884479086497,3.0271463990211487,0.010793469710051795,3.014081812580116e-06,0.020948547769762627,,0.13020877133370662,11,11368,0,0
30,0.8815301060676575,180.1318359375,608,5,0,0.70703125,0.70703125,0.06636089189123595,2.7435649633407593,0.107390865443449,0.013057728918283829,0.26114399957066325,,0.16302537710443898,12,11760,0,0
31,0.8124958276748657,171.912109375,606,7,0,0.736328125,0.736328125,0.0036724698002217337,3.763270616531372,0.01304616771790279,3.150201564494637e-06,0.02639640192720094,,0.06312775489997727,12,12152,0,0
