step,entropy,len_mean,len_max,len_min,len_clip_ratio,score_mean,rewards_mean,pg_loss,grad_norm,pg_clipfrac,pg_clipfrac_lower,ppo_kl,val_acc_mean1,spectral_rel_change_mean,anchor_backwards,spectral_corrections,clean_steps,mask_applications
24,1.3051629066467285,230.7392578125,810,4,0,0.3583984375,0.3583984375,0.014805353789597575,1.7038325071334839,0.025909155631438807,0,0.030219875332477386,,,9,0,0,0
25,1.272826075553894,228.001953125,662,5,0,0.3759765625,0.3759765625,0.10392027831858286,3.9513782262802124,0.1516369418532122,0.023311334822210483,0.032754542285871935,0.4094010614101592,,10,0,0,0
26,1.118530511856079,256.138671875,822,5,0,0.3330078125,0.3330078125,0.01988300001994503,4.0116881132125854,0.03061119204926399,0,0.03711116489284905,,,10,0,0,0
27,1.0953782796859741,226.51953125,795,5,0,0.4287109375,0.4287109375,0.025166629190607637,3.221061587333679,0.021956884507517316,0,0.029766061015834566,,,10,0,0,0
28,1.0492864847183228,219.107421875,665,4,0,0.4716796875,0.4716796875,0.20299180100118974,6.646900653839111,0.3107685669674538,0.051531941771827405,0.16412550507622825,,,11,0,0,0
29,0.9476537108421326,223.66796875,697,4,0,0.451171875,0.451171875,0.01994537241262151,3.214526653289795,0.02858779851453619,0,0.03705649237417674,,,11,0,0,0
30,0.9016652703285217,223,1217,4,0,0.4541015625,0.4541015625,0.10319359216191515,4.024198889732361,0.148478219343815,0.02823423146037385,-0.002636204359248495,,,12,0,0,0
31,0.9156290292739868,218.0634765625,872,4,0,0.521484375,0.521484375,0.011404647186736838,2.3211605548858643,0.018742849072623358,0,0.026187979326550703,,,12,0,0,0
32,0.8645747900009155,222.7822265625,604,4,0,0.5146484375,0.5146484375,0.0093440687378461,5.877465486526489,0.01954686546139328,1.641281596675981e-05,0.028438281517992436,,,12,0,0,0
33,0.8572908639907837,207.275390625,636,5,0,0.51953125,0.51953125,0.14886115282752144,4.16212522983551,0.27767188170400914,0.02985359585727565,0.3046192461884516,,,13,0,0,0
34,0.7710649967193604,218.072265625,518,5,0,0.572265625,0.572265625,0.017027530975610716,7.288301706314087,0.030602766975107443,0,0.04372041320311837,,,13,0,0,0
